epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3112,1.28387,3.40716,1.34437,0,0,0,0,1.86857,3.89942,1.71952,0.0677674,0.000325581,0.000325581
2,21.29,1.17212,1.8675,1.28124,0.83887,0.4522,0.68562,0.44371,1.56882,2.13586,1.5553,0.0347609,0.000652391,0.000652391
3,29.7383,1.11326,1.53058,1.22343,0.87,0.68707,0.81631,0.52763,1.08635,1.1401,1.25435,0.0017478,0.000972602,0.000972602
4,38.1578,1.16822,1.43662,1.25412,0.89003,0.64089,0.80664,0.54389,1.37297,1.45204,1.44687,0.0009703,0.0009703,0.0009703
5,46.7606,1.17339,1.33082,1.245,0.56266,0.84281,0.69119,0.44146,1.09261,1.51937,1.19608,0.0009604,0.0009604,0.0009604
6,55.3157,1.14214,1.3291,1.25712,0.77272,0.76699,0.87695,0.59144,1.13273,1.26814,1.23853,0.0009505,0.0009505,0.0009505
7,63.671,1.12231,1.18555,1.20414,0.79782,0.76743,0.83228,0.52669,1.20725,1.15253,1.2586,0.0009406,0.0009406,0.0009406
8,72.0527,1.08812,1.19948,1.20287,0.76668,0.58003,0.65213,0.43344,1.14059,1.61289,1.23776,0.0009307,0.0009307,0.0009307
9,80.5133,1.02715,1.08479,1.17398,0.82324,0.69935,0.80283,0.53587,1.21439,1.11088,1.35034,0.0009208,0.0009208,0.0009208
10,89.1437,1.03376,1.04312,1.19926,0.76139,0.73019,0.79623,0.55687,1.22485,1.40376,1.28133,0.0009109,0.0009109,0.0009109
11,97.6626,1.06121,1.06811,1.19928,0.73545,0.80297,0.86255,0.55239,1.46214,1.05427,1.41846,0.000901,0.000901,0.000901
12,106.344,1.02183,1.00942,1.18366,0.93063,0.79936,0.87338,0.60206,1.23321,0.96596,1.31019,0.0008911,0.0008911,0.0008911
13,114.983,1.03773,1.01501,1.20288,0.82521,0.77825,0.83827,0.53273,1.27233,0.89978,1.28347,0.0008812,0.0008812,0.0008812
14,123.538,1.01055,0.97416,1.16514,0.88711,0.82568,0.92148,0.61833,1.13051,0.93482,1.23637,0.0008713,0.0008713,0.0008713
15,132.074,1.00063,0.94253,1.16828,0.72826,0.88681,0.87945,0.59117,1.07103,0.7879,1.17199,0.0008614,0.0008614,0.0008614
16,140.519,0.97105,0.92601,1.14847,0.90713,0.79799,0.87026,0.61489,1.30546,0.87931,1.39652,0.0008515,0.0008515,0.0008515
17,149.006,0.98176,0.90608,1.1439,0.80816,0.91788,0.94029,0.64818,0.99913,0.75632,1.15864,0.0008416,0.0008416,0.0008416
18,157.452,0.98659,0.87986,1.16024,0.86127,0.80338,0.93829,0.66579,1.17055,0.77431,1.21942,0.0008317,0.0008317,0.0008317
19,165.883,0.94981,0.84321,1.12245,0.72087,0.86474,0.88857,0.63327,1.11991,0.80779,1.15831,0.0008218,0.0008218,0.0008218
20,174.407,0.95759,0.82409,1.12532,0.86682,0.85913,0.93197,0.68825,1.04128,0.70067,1.14945,0.0008119,0.0008119,0.0008119
21,182.923,0.96944,0.80191,1.12377,0.86534,0.82193,0.94259,0.6668,0.97488,0.72531,1.14435,0.000802,0.000802,0.000802
22,191.439,0.9584,0.81453,1.14445,0.80482,0.92558,0.96261,0.64915,1.06218,0.74567,1.17584,0.0007921,0.0007921,0.0007921
23,199.952,0.96175,0.79124,1.13088,0.89766,0.82989,0.94222,0.65706,1.04949,0.66339,1.17698,0.0007822,0.0007822,0.0007822
24,208.636,0.91124,0.7818,1.10602,0.86015,0.85042,0.89028,0.61182,0.98163,0.70654,1.17071,0.0007723,0.0007723,0.0007723
25,217.423,0.89534,0.76311,1.08105,0.84372,0.86518,0.91677,0.6382,1.19121,0.73316,1.26342,0.0007624,0.0007624,0.0007624
26,226.016,0.87896,0.74514,1.09329,0.90008,0.79521,0.91249,0.63689,1.11839,0.75159,1.17769,0.0007525,0.0007525,0.0007525
27,234.761,0.89858,0.73042,1.08015,0.94656,0.78436,0.92875,0.62822,1.1292,1.01476,1.21154,0.0007426,0.0007426,0.0007426
28,243.525,0.92346,0.73819,1.11625,0.93803,0.89543,0.9667,0.66183,1.03569,0.60458,1.11824,0.0007327,0.0007327,0.0007327
29,252.236,0.90253,0.716,1.10876,0.78704,0.93529,0.94551,0.68112,1.04023,0.65924,1.10343,0.0007228,0.0007228,0.0007228
30,260.849,0.88871,0.766,1.1027,0.86926,0.78577,0.86971,0.63775,1.00223,0.78714,1.12537,0.0007129,0.0007129,0.0007129
31,269.489,0.86249,0.68805,1.07173,0.88262,0.82081,0.89124,0.60914,1.22322,0.71204,1.26091,0.000703,0.000703,0.000703
32,278.248,0.87287,0.70393,1.09725,0.82779,0.81264,0.88716,0.65037,0.94818,0.61017,1.13527,0.0006931,0.0006931,0.0006931
33,286.952,0.8508,0.67766,1.07336,0.7823,0.73086,0.82655,0.59773,0.99062,0.81173,1.11964,0.0006832,0.0006832,0.0006832
34,295.603,0.87474,0.67674,1.08598,0.88694,0.77378,0.9057,0.65132,1.05003,0.75764,1.17239,0.0006733,0.0006733,0.0006733
35,304.262,0.89544,0.71944,1.09945,0.83544,0.85159,0.91283,0.64314,1.1155,0.72848,1.14587,0.0006634,0.0006634,0.0006634
